index,stream,Zscore,al_year,sub1,sub1_r,sub2,sub2_r,sub3,sub3_r,cgt_r,ge_r,syllabus,birth_day,birth_month,birth_year,gender
32242,ARTS,1.2485,2020,HISTORY OF SRI LANKA & INDIA,A,COMMUNICATION & MEDIA STUDIES,C,CHRISTIANITY,A,056,S,new,15,July,2000,female
74300,ARTS,0.1749,2020,POLITICAL SCIENCE,S,BUDDHIST CIVILIZATION,S,SINHALA,B,026,F,new,15,September,2001,female
80478,ARTS,0.8865,2020,ECONOMICS,B,GEOGRAPHY,A,SINHALA,B,048,F,new,8,June,2000,female
29812,ARTS,0.0531,2020,HISTORY OF SRI LANKA & INDIA,S,BUDDHIST CIVILIZATION,C,SINHALA,B,036,F,new,30,September,2001,female
230572,ARTS,-0.5728,2020,GEOGRAPHY,S,POLITICAL SCIENCE,F,ISLAM,C,034,S,new,18,November,2001,male
248684,ARTS,-0.4134,2020,GEOGRAPHY,S,POLITICAL SCIENCE,S,SINHALA,C,026,F,new,12,May,2000,female
28031,ARTS,-0.4443,2020,LOGIC & SCIENTIFIC METHOD,S,COMMUNICATION & MEDIA STUDIES,S,CHRISTIANITY,C,024,C,new,20,November,2001,male
39650,ARTS,0.9756,2020,INFORMATION & COMMUNICATION TECHNOLOGY,C,ENGLISH,S,JAPANESE,A,046,B,new,13,June,2001,female
31416,ARTS,-0.1045,2020,INFORMATION & COMMUNICATION TECHNOLOGY,S,COMMUNICATION & MEDIA STUDIES,C,SINHALA,C,058,S,new,31,December,2001,female
256885,ARTS,0.6669,2020,POLITICAL SCIENCE,C,BUDDHIST CIVILIZATION,C,SINHALA,B,032,F,new,25,July,2000,female
107330,ARTS,-0.2088,2020,POLITICAL SCIENCE,F,BUDDHIST CIVILIZATION,S,SINHALA,B,028,F,new,7,February,2001,female
163647,ARTS,-0.7429,2020,POLITICAL SCIENCE,S,DRAMA AND THEATRE (SINHALA),S,SINHALA,S,048,S,new,29,April,2001,male
73417,ARTS,0.108,2020,HISTORY OF SRI LANKA & INDIA,S,COMMUNICATION & MEDIA STUDIES,C,ART,C,034,F,new,28,July,2000,male
209403,ARTS,-0.3578,2020,POLITICAL SCIENCE,S,BUDDHIST CIVILIZATION,S,SINHALA,S,036,F,new,12,November,2001,male
36158,ARTS,0.419,2020,COMMUNICATION & MEDIA STUDIES,C,BUDDHIST CIVILIZATION,S,SINHALA,B,Absent,S,new,12,October,1999,female
247625,ARTS,0.2392,2020,GEOGRAPHY,S,POLITICAL SCIENCE,C,TAMIL,C,044,S,new,23,February,2001,female
254895,ARTS,0.7316,2020,GEOGRAPHY,C,POLITICAL SCIENCE,B,SINHALA,C,040,F,new,13,August,2000,female
227382,ARTS,1.1958,2020,GEOGRAPHY,A,HISTORY OF SRI LANKA & INDIA,A,SINHALA,B,044,S,new,18,February,2000,female
37824,ARTS,-0.6856,2020,GEOGRAPHY,S,HOME ECONOMICS,C,SINHALA,S,034,F,new,2,December,2001,female
156268,ARTS,1.0577,2020,HOME ECONOMICS,B,ISLAMIC CIVILIZATION,A,ARABIC,B,038,S,new,18,April,2000,female
69425,ARTS,1.0593,2020,POLITICAL SCIENCE,B,HISTORY OF SRI LANKA & INDIA,B,SINHALA,A,042,F,new,11,July,2001,female
273783,ARTS,0.7895,2020,POLITICAL SCIENCE,C,ISLAMIC CIVILIZATION,A,ARABIC,A,018,F,new,14,October,1982,male
211269,ARTS,1.4125,2020,POLITICAL SCIENCE,A,ENGLISH,C,FRENCH,A,038,A,new,10,September,2001,female
305018,ARTS,0.3841,2020,GEOGRAPHY,C,HINDU CIVILIZATION,B,TAMIL,C,030,F,new,30,March,2001,male
258584,ARTS,0.3459,2020,GEOGRAPHY,C,COMMUNICATION & MEDIA STUDIES,C,SINHALA,C,032,F,new,5,July,2001,female
185755,ARTS,0.6028,2020,GEOGRAPHY,B,BUDDHIST CIVILIZATION,C,SINHALA,C,034,F,new,12,September,2001,female
114948,ARTS,-0.142,2020,GEOGRAPHY,S,HISTORY OF SRI LANKA & INDIA,C,SINHALA,S,050,F,new,9,August,2001,female
262178,ARTS,0.8796,2020,GEOGRAPHY,B,BUDDHIST CIVILIZATION,A,SINHALA,C,042,F,new,29,October,2001,female
59680,ARTS,0.6211,2020,POLITICAL SCIENCE,S,HISTORY OF SRI LANKA & MODERN WORLD,C,DRAMA AND THEATRE (SINHALA),B,Absent,F,new,4,January,2001,female
64507,ARTS,0.1376,2020,COMMUNICATION & MEDIA STUDIES,S,BUDDHIST CIVILIZATION,C,SINHALA,C,030,F,new,19,February,2001,female
157732,ARTS,1.6324,2020,POLITICAL SCIENCE,B,COMMUNICATION & MEDIA STUDIES,A,DRAMA AND THEATRE (SINHALA),A,046,F,new,15,July,2001,male
147986,ARTS,0.3103,2020,HISTORY OF SRI LANKA & EUROPE,C,HINDUISM,C,DRAMA AND THEATRE (TAMIL),C,030,F,new,8,March,2001,female
274156,ARTS,-1.4078,2020,POLITICAL SCIENCE,F,ISLAM,S,ARABIC,S,034,Absent,new,21,June,2001,male
279721,ARTS,0.9245,2020,LOGIC & SCIENTIFIC METHOD,C,DRAMA AND THEATRE (TAMIL),A,TAMIL,B,054,F,new,30,May,2001,female
7143,ARTS,0.6058,2020,COMMUNICATION & MEDIA STUDIES,C,ART,B,SINHALA,C,048,S,new,16,July,2001,male
229560,ARTS,0.7577,2020,COMMUNICATION & MEDIA STUDIES,C,BUDDHIST CIVILIZATION,B,SINHALA,B,038,S,new,24,September,2001,female
132038,ARTS,0.3398,2020,GEOGRAPHY,S,COMMUNICATION & MEDIA STUDIES,C,SINHALA,B,040,F,new,31,March,2000,female
223065,ARTS,1.236,2020,GEOGRAPHY,A,HISTORY OF SRI LANKA & INDIA,B,SINHALA,B,Absent,S,new,18,April,2000,female
194561,ARTS,0.3285,2020,COMMUNICATION & MEDIA STUDIES,C,BUDDHIST CIVILIZATION,S,SINHALA,B,046,Absent,new,16,November,1999,female
158840,ARTS,-0.3462,2020,POLITICAL SCIENCE,S,HISTORY OF SRI LANKA & INDIA,S,ART,C,044,F,new,15,October,2001,male
172327,ARTS,0.4205,2020,GEOGRAPHY,C,DANCING(INDIGENOUS),C,SINHALA,B,040,F,new,11,July,2001,female
239514,ARTS,1.4424,2020,GEOGRAPHY,A,POLITICAL SCIENCE,B,TAMIL,B,042,F,new,30,September,2001,female
21397,ARTS,-0.702,2020,COMMUNICATION & MEDIA STUDIES,F,DANCING(INDIGENOUS),C,DRAMA AND THEATRE (SINHALA),S,028,F,new,22,May,2001,female
130657,ARTS,0.7995,2020,COMMUNICATION & MEDIA STUDIES,B,BUDDHIST CIVILIZATION,C,SINHALA,C,Absent,F,new,21,May,2000,female
283091,ARTS,0.4908,2020,GEOGRAPHY,S,HINDUISM,A,TAMIL,C,036,F,new,1,August,2000,female
253055,ARTS,0.0505,2020,POLITICAL SCIENCE,S,COMMUNICATION & MEDIA STUDIES,S,SINHALA,C,028,F,new,26,March,2000,female
228303,ARTS,1.4162,2020,GEOGRAPHY,B,COMMUNICATION & MEDIA STUDIES,B,SINHALA,B,040,S,new,28,April,2001,male
149739,ARTS,-0.5935,2020,HOME ECONOMICS,S,BUDDHIST CIVILIZATION,F,SINHALA,B,032,F,new,14,December,2001,female
27520,ARTS,0.5841,2020,HISTORY OF SRI LANKA & EUROPE,C,COMMUNICATION & MEDIA STUDIES,C,CHRISTIANITY,A,054,A,new,25,April,1999,male
45661,ARTS,-0.3828,2020,GEOGRAPHY,S,HOME ECONOMICS,S,SINHALA,C,034,F,new,25,March,2001,female
64840,ARTS,1.4333,2020,GEOGRAPHY,A,POLITICAL SCIENCE,C,ISLAM,A,032,C,new,1,December,2001,male
249536,ARTS,1.0035,2020,GEOGRAPHY,B,DANCING(INDIGENOUS),B,SINHALA,B,044,F,new,10,May,2000,female
269859,ARTS,0.3538,2020,POLITICAL SCIENCE,S,HINDU CIVILIZATION,B,TAMIL,C,030,F,new,19,January,2002,female
276655,ARTS,0.0324,2020,POLITICAL SCIENCE,S,DRAMA AND THEATRE (TAMIL),C,TAMIL,C,038,F,new,6,June,2000,female
190892,ARTS,-0.3736,2020,GEOGRAPHY,S,COMMUNICATION & MEDIA STUDIES,F,SINHALA,C,030,F,new,11,December,2001,female
143312,ARTS,-0.8708,2020,HISTORY OF SRI LANKA & INDIA,S,COMMUNICATION & MEDIA STUDIES,F,SINHALA,S,028,F,new,17,March,2001,female
301674,ARTS,0.7139,2020,GEOGRAPHY,C,CARNATIC MUSIC,B,TAMIL,B,038,S,new,3,September,2001,female
259859,ARTS,-0.2985,2020,GEOGRAPHY,S,COMMUNICATION & MEDIA STUDIES,S,BUDDHIST CIVILIZATION,C,034,F,new,7,July,2001,male
161387,ARTS,1.131,2020,INFORMATION & COMMUNICATION TECHNOLOGY,C,GEOGRAPHY,A,SINHALA,B,046,F,new,29,November,2001,female
110619,ARTS,0.0051,2020,AGRICULTURAL SCIENCE,S,POLITICAL SCIENCE,C,SINHALA,C,044,F,new,26,July,2001,female
224274,ARTS,-1.1152,2020,POLITICAL SCIENCE,F,BUDDHIST CIVILIZATION,S,SINHALA,S,042,F,new,3,April,2001,female
56372,ARTS,1.0264,2020,POLITICAL SCIENCE,B,LOGIC & SCIENTIFIC METHOD,C,SINHALA,A,038,S,new,14,November,2001,female
214969,ARTS,0.7023,2020,HISTORY OF SRI LANKA & INDIA,B,ART,C,SINHALA,C,046,S,new,25,March,2001,female
162957,ARTS,0.4312,2020,HOME ECONOMICS,C,COMMUNICATION & MEDIA STUDIES,C,BUDDHIST CIVILIZATION,C,030,F,new,31,January,2001,female
21489,ARTS,-0.2054,2020,ECONOMICS,C,GEOGRAPHY,S,BUSINESS STATISTICS,S,Absent,S,new,30,December,2000,female
162284,ARTS,-0.0864,2020,POLITICAL SCIENCE,C,HISTORY OF SRI LANKA & EUROPE,S,ISLAM,C,030,F,new,11,December,2001,female
163021,ARTS,0.8787,2020,POLITICAL SCIENCE,C,BUDDHIST CIVILIZATION,C,SINHALA,B,042,F,new,19,June,2001,female
301301,ARTS,0.8787,2020,GEOGRAPHY,C,HISTORY OF SRI LANKA & EUROPE,B,TAMIL,B,042,F,new,4,April,2001,female
217798,ARTS,1.5075,2020,ECONOMICS,A,LOGIC & SCIENTIFIC METHOD,B,SINHALA,A,Absent,C,new,2,February,2000,female
294487,ARTS,-1.1373,2020,GEOGRAPHY,S,CHRISTIAN CIVILIZATION,F,TAMIL,S,026,F,new,22,September,2001,female
194917,ARTS,1.1978,2020,COMMUNICATION & MEDIA STUDIES,B,ORIENTAL MUSIC,A,SINHALA,B,042,S,new,15,February,2001,female
259941,ARTS,1.2135,2020,POLITICAL SCIENCE,B,BUDDHIST CIVILIZATION,A,SINHALA,C,044,F,new,1,July,2000,female
145831,ARTS,1.9517,2020,INFORMATION & COMMUNICATION TECHNOLOGY,A,GEOGRAPHY,A,SINHALA,A,050,C,new,22,November,2001,female
256579,ARTS,1.645,2020,POLITICAL SCIENCE,B,COMMUNICATION & MEDIA STUDIES,B,SINHALA,A,032,F,new,17,March,2001,female
187053,ARTS,-0.6156,2020,HOME ECONOMICS,C,BUDDHIST CIVILIZATION,F,SINHALA,S,046,C,new,9,September,2001,male
2086,ARTS,1.2126,2020,POLITICAL SCIENCE,B,COMMUNICATION & MEDIA STUDIES,B,ISLAMIC CIVILIZATION,A,036,A,new,30,January,2002,male
258386,ARTS,-1.1308,2020,GEOGRAPHY,S,ART,S,SINHALA,F,042,F,new,28,June,2001,male
107273,ARTS,0.9264,2020,GEOGRAPHY,C,BUDDHIST CIVILIZATION,C,SINHALA,A,028,F,new,19,March,2001,female
200170,ARTS,-0.1817,2020,GEOGRAPHY,C,DANCING(INDIGENOUS),S,SINHALA,C,034,S,new,9,May,2001,female
62649,ARTS,0.1829,2020,GEOGRAPHY,S,BUDDHIST CIVILIZATION,C,SINHALA,B,028,F,new,26,June,2001,female
140518,ARTS,-0.5641,2020,GEOGRAPHY,S,DANCING(INDIGENOUS),C,SINHALA,S,028,F,new,15,August,1999,female
117282,ARTS,0.0089,2020,GEOGRAPHY,C,POLITICAL SCIENCE,S,SINHALA,C,044,F,new,1,April,2001,female
222599,ARTS,-0.7493,2020,GEOGRAPHY,S,HISTORY OF SRI LANKA & INDIA,S,SINHALA,S,030,F,new,1,December,2000,female
193978,ARTS,-0.3276,2020,COMMUNICATION & MEDIA STUDIES,S,BUDDHIST CIVILIZATION,C,SINHALA,S,034,F,new,14,May,2001,female
96122,ARTS,1.003,2020,GEOGRAPHY,B,COMMUNICATION & MEDIA STUDIES,C,SINHALA,B,040,F,new,17,May,2001,female
239951,ARTS,-0.7096,2020,GEOGRAPHY,F,POLITICAL SCIENCE,S,TAMIL,S,036,F,new,25,November,2001,female
150051,ARTS,-0.7607,2020,HISTORY OF SRI LANKA & INDIA,S,BUDDHIST CIVILIZATION,F,SINHALA,C,024,F,new,16,January,2002,female
280318,ARTS,0.3232,2020,POLITICAL SCIENCE,S,LOGIC & SCIENTIFIC METHOD,S,TAMIL,B,046,F,new,9,February,2001,female
281667,ARTS,0.3398,2020,INFORMATION & COMMUNICATION TECHNOLOGY,S,GEOGRAPHY,C,TAMIL,B,030,S,new,5,November,2001,female
239417,ARTS,-0.2892,2020,POLITICAL SCIENCE,S,HOME ECONOMICS,C,TAMIL,C,034,S,new,28,February,2001,female
134553,ARTS,0.5869,2020,GEOGRAPHY,C,POLITICAL SCIENCE,C,HOME ECONOMICS,C,050,F,new,30,June,2001,female
146788,ARTS,1.0372,2020,POLITICAL SCIENCE,C,HISTORY OF SRI LANKA & EUROPE,C,COMMUNICATION & MEDIA STUDIES,B,038,S,new,29,June,2001,female
55374,ARTS,-0.2386,2020,GEOGRAPHY,S,CHRISTIANITY,B,SINHALA,C,028,F,new,14,May,2001,female
166908,ARTS,0.9227,2020,ECONOMICS,C,CHRISTIANITY,A,SINHALA,B,058,S,new,20,February,2001,female
146020,ARTS,0.841,2020,HISTORY OF SRI LANKA & INDIA,B,ORIENTAL MUSIC,B,SINHALA,B,052,F,new,29,April,2001,female
103607,ARTS,-0.2349,2020,GEOGRAPHY,C,BUDDHIST CIVILIZATION,S,SINHALA,C,046,F,new,12,January,2001,female
113156,ARTS,2.0733,2020,GEOGRAPHY,A,POLITICAL SCIENCE,A,HISTORY OF SRI LANKA & MODERN WORLD,A,046,C,new,26,August,2001,female
233353,ARTS,-0.3279,2020,POLITICAL SCIENCE,S,BUDDHIST CIVILIZATION,S,SINHALA,C,042,Absent,new,26,March,2000,male
180435,ARTS,-0.0485,2020,GEOGRAPHY,S,ISLAM,C,TAMIL,C,030,F,new,9,February,2000,female
138501,ARTS,-0.0145,2020,POLITICAL SCIENCE,S,LOGIC & SCIENTIFIC METHOD,C,SINHALA,C,038,F,new,22,December,2001,female
66101,ARTS,1.6868,2020,POLITICAL SCIENCE,A,HISTORY OF SRI LANKA & INDIA,B,SINHALA,A,046,S,new,6,April,2001,female
138051,ARTS,1.0849,2020,ECONOMICS,A,GEOGRAPHY,B,SINHALA,B,046,S,new,5,October,2000,female
284710,ARTS,1.1413,2020,GEOGRAPHY,C,CHRISTIAN CIVILIZATION,A,TAMIL,B,036,F,new,7,June,2001,female
219299,ARTS,1.1748,2020,GEOGRAPHY,B,POLITICAL SCIENCE,B,TAMIL,B,038,C,new,20,March,2001,female
242781,ARTS,-0.5643,2020,GEOGRAPHY,S,POLITICAL SCIENCE,S,SINHALA,S,018,F,new,25,May,2001,female
103608,ARTS,1.153,2020,GEOGRAPHY,B,BUDDHIST CIVILIZATION,B,SINHALA,B,042,F,new,17,May,2001,female
294527,ARTS,0.0858,2020,AGRICULTURAL SCIENCE,S,GEOGRAPHY,C,TAMIL,C,040,F,new,26,April,2000,male
282583,ARTS,0.3962,2020,GEOGRAPHY,C,HINDUISM,B,TAMIL,C,024,F,new,18,November,2000,female
304802,ARTS,0.0669,2020,GEOGRAPHY,C,CARNATIC MUSIC,S,TAMIL,B,042,F,new,25,April,2001,female
192734,ARTS,1.3197,2020,COMMUNICATION & MEDIA STUDIES,B,DANCING(INDIGENOUS),B,SINHALA,A,032,F,new,27,December,2001,female
248314,ARTS,-0.2385,2020,POLITICAL SCIENCE,S,COMMUNICATION & MEDIA STUDIES,S,SINHALA,B,042,F,new,13,February,2001,female
123361,ARTS,0.1167,2020,POLITICAL SCIENCE,S,COMMUNICATION & MEDIA STUDIES,S,DANCING(INDIGENOUS),B,046,C,new,8,December,2001,female
239701,ARTS,0.2786,2020,GEOGRAPHY,S,POLITICAL SCIENCE,S,TAMIL,B,042,F,new,20,January,2002,female
303684,ARTS,0.9772,2020,GEOGRAPHY,B,DRAMA AND THEATRE (TAMIL),B,TAMIL,C,040,F,new,15,January,2002,female
10984,ARTS,0.7371,2020,POLITICAL SCIENCE,B,HISTORY OF SRI LANKA & INDIA,C,COMMUNICATION & MEDIA STUDIES,C,052,S,new,21,August,2001,male
233810,ARTS,1.37,2020,HISTORY OF SRI LANKA & INDIA,A,BUDDHIST CIVILIZATION,A,SINHALA,B,050,Absent,new,14,June,2000,female
67720,ARTS,0.9945,2020,LOGIC & SCIENTIFIC METHOD,C,HISTORY OF SRI LANKA & INDIA,B,SINHALA,A,Absent,C,new,3,September,2000,female
129134,ARTS,1.6968,2020,GEOGRAPHY,A,COMMUNICATION & MEDIA STUDIES,B,SINHALA,A,036,F,new,10,July,2001,female
39757,ARTS,0.6527,2020,ECONOMICS,C,POLITICAL SCIENCE,C,HISTORY OF SRI LANKA & INDIA,C,048,A,new,6,December,2001,male
87425,ARTS,0.7631,2020,GEOGRAPHY,B,POLITICAL SCIENCE,C,SINHALA,B,042,S,new,28,December,2001,female
105725,ARTS,-0.6908,2020,GEOGRAPHY,F,BUDDHIST CIVILIZATION,S,SINHALA,C,036,F,new,19,June,2001,female
286076,ARTS,-0.8361,2020,BUDDHIST CIVILIZATION,F,DANCING(INDIGENOUS),C,SINHALA,S,046,Absent,new,29,September,2000,female
133888,ARTS,-0.6317,2020,GEOGRAPHY,S,POLITICAL SCIENCE,S,SINHALA,S,052,F,new,3,April,2001,male
197784,ARTS,-0.0715,2020,HOME ECONOMICS,C,ART,C,SINHALA,C,030,F,new,7,July,2001,female
188295,ARTS,0.3656,2020,HISTORY OF SRI LANKA & INDIA,C,COMMUNICATION & MEDIA STUDIES,C,SINHALA,C,050,S,new,15,May,1998,female
326084,ARTS,0.783,2020,POLITICAL SCIENCE,C,HINDU CIVILIZATION,C,TAMIL,C,028,F,old,5,July,1999,female
328638,ARTS,0.349,2020,POLITICAL SCIENCE,C,BUDDHIST CIVILIZATION,C,SINHALA,B,038,Absent,old,18,June,1999,female
328807,ARTS,1.1369,2020,GEOGRAPHY,A,POLITICAL SCIENCE,C,SINHALA,A,Absent,F,old,11,July,1999,female
316539,ARTS,1.0565,2020,COMMUNICATION & MEDIA STUDIES,C,BUDDHIST CIVILIZATION,A,SINHALA,A,047,C,old,26,March,1997,female
325049,ARTS,1.1415,2020,COMMUNICATION & MEDIA STUDIES,B,BUDDHIST CIVILIZATION,B,SINHALA,A,073,A,old,8,December,1997,female
322538,ARTS,0.7825,2020,INFORMATION & COMMUNICATION TECHNOLOGY,C,BUDDHIST CIVILIZATION,C,SINHALA,B,Absent,Absent,old,26,October,1999,male
330120,ARTS,0.6853,2020,HOME ECONOMICS,B,BUDDHIST CIVILIZATION,A,SINHALA,B,Absent,Absent,old,8,July,1998,female
316563,ARTS,0.5029,2020,POLITICAL SCIENCE,C,COMMUNICATION & MEDIA STUDIES,C,SINHALA,B,020,F,old,4,January,2000,female
336150,ARTS,0.0794,2020,POLITICAL SCIENCE,S,ISLAM,C,ART,C,033,F,old,18,October,1999,female
316661,ARTS,0.2375,2020,GEOGRAPHY,C,BUDDHIST CIVILIZATION,C,SINHALA,B,027,Absent,old,3,December,1999,male
155164,BIOLOGICAL SCIENCE,0.8299,2020,PHYSICS,C,CHEMISTRY,B,BIOLOGY,C,066,C,new,15,April,2000,male
244404,BIOLOGICAL SCIENCE,1.692,2020,PHYSICS,B,CHEMISTRY,A,BIOLOGY,B,Absent,Absent,new,31,May,2000,female
278096,BIOLOGICAL SCIENCE,0.2296,2020,PHYSICS,S,CHEMISTRY,S,BIOLOGY,C,Absent,C,new,3,October,2000,female
109167,BIOLOGICAL SCIENCE,-0.3267,2020,PHYSICS,S,CHEMISTRY,S,BIOLOGY,S,022,S,new,6,July,2001,male
104599,BIOLOGICAL SCIENCE,0.4792,2020,CHEMISTRY,S,AGRICULTURAL SCIENCE,C,BIOLOGY,C,036,Absent,new,3,November,2000,female
170852,BIOLOGICAL SCIENCE,0.5272,2020,PHYSICS,S,CHEMISTRY,C,BIOLOGY,C,Absent,S,new,13,December,2000,female
23837,BIOLOGICAL SCIENCE,-0.3504,2020,CHEMISTRY,F,AGRICULTURAL SCIENCE,C,BIOLOGY,S,042,S,new,1,February,2001,male
132309,BIOLOGICAL SCIENCE,0.063,2020,PHYSICS,S,CHEMISTRY,S,BIOLOGY,S,048,S,new,26,October,2000,female
135304,BIOLOGICAL SCIENCE,-0.2525,2020,PHYSICS,S,CHEMISTRY,F,COMBINED MATHEMATICS,S,Absent,C,new,25,June,2000,female
204121,BIOLOGICAL SCIENCE,-0.1746,2020,CHEMISTRY,S,AGRICULTURAL SCIENCE,S,BIOLOGY,S,050,F,new,25,May,2000,male
7043,BIOLOGICAL SCIENCE,1.2289,2020,PHYSICS,C,CHEMISTRY,B,BIOLOGY,C,Absent,Absent,new,29,May,2000,male
117283,BIOLOGICAL SCIENCE,-0.1962,2020,PHYSICS,S,CHEMISTRY,S,BIOLOGY,S,Absent,Absent,new,22,December,2000,female
263663,BIOLOGICAL SCIENCE,-0.113,2020,PHYSICS,F,CHEMISTRY,S,BIOLOGY,C,Absent,Absent,new,10,February,2000,female
153552,BIOLOGICAL SCIENCE,0.0725,2020,PHYSICS,S,CHEMISTRY,S,BIOLOGY,C,056,S,new,4,October,2000,male
109722,BIOLOGICAL SCIENCE,1.1566,2020,PHYSICS,C,CHEMISTRY,B,BIOLOGY,B,058,C,new,7,October,2000,female
82400,BIOLOGICAL SCIENCE,2.5823,2020,PHYSICS,A,CHEMISTRY,A,BIOLOGY,A,Absent,A,new,15,January,2001,female
140929,BIOLOGICAL SCIENCE,0.6462,2020,PHYSICS,S,CHEMISTRY,C,BIOLOGY,B,062,B,new,5,September,2001,female
183390,BIOLOGICAL SCIENCE,1.6504,2020,PHYSICS,B,CHEMISTRY,A,BIOLOGY,C,Absent,C,new,14,January,2001,female
76458,BIOLOGICAL SCIENCE,0.3189,2020,PHYSICS,S,CHEMISTRY,C,BIOLOGY,S,Absent,B,new,27,March,2000,female
60493,BIOLOGICAL SCIENCE,0.0293,2020,PHYSICS,S,CHEMISTRY,C,BIOLOGY,S,042,S,new,15,March,2001,male
132113,BIOLOGICAL SCIENCE,-0.1492,2020,PHYSICS,S,CHEMISTRY,S,BIOLOGY,C,056,S,new,25,August,2001,female
244557,BIOLOGICAL SCIENCE,1.8105,2020,PHYSICS,B,CHEMISTRY,A,BIOLOGY,B,056,A,new,17,February,2000,female
205764,BIOLOGICAL SCIENCE,-0.4825,2020,PHYSICS,S,CHEMISTRY,S,BIOLOGY,S,050,S,new,11,December,2000,female
270983,BIOLOGICAL SCIENCE,-0.3878,2020,PHYSICS,F,CHEMISTRY,S,BIOLOGY,S,040,C,new,26,October,2001,female
196506,BIOLOGICAL SCIENCE,0.2146,2020,PHYSICS,S,CHEMISTRY,C,BIOLOGY,C,Absent,C,new,8,June,2000,female
45113,BIOLOGICAL SCIENCE,0.3,2020,PHYSICS,S,CHEMISTRY,C,BIOLOGY,C,Absent,Absent,new,22,August,2000,female
102006,BIOLOGICAL SCIENCE,-0.2143,2020,PHYSICS,F,CHEMISTRY,S,BIOLOGY,S,054,S,new,29,November,2000,female
111272,BIOLOGICAL SCIENCE,0.2808,2020,PHYSICS,S,CHEMISTRY,S,BIOLOGY,C,064,A,new,6,November,2001,female
165418,BIOLOGICAL SCIENCE,1.5594,2020,CHEMISTRY,C,AGRICULTURAL SCIENCE,A,BIOLOGY,B,062,A,new,27,July,2001,female
127136,BIOLOGICAL SCIENCE,-0.0779,2020,PHYSICS,S,CHEMISTRY,S,BIOLOGY,S,Absent,S,new,5,March,2000,female
97359,BIOLOGICAL SCIENCE,1.7648,2020,PHYSICS,B,CHEMISTRY,A,BIOLOGY,B,Absent,Absent,new,4,February,2000,female
78554,BIOLOGICAL SCIENCE,0.0537,2020,PHYSICS,S,CHEMISTRY,S,BIOLOGY,S,Absent,Absent,new,8,May,2000,female
